id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
922,5dbe5d08,0.008,0.0,0.1034,983,17,2
923,5dbe5d08,0.0274,0.0,0.0765,983,17,2
924,5dbe5d08,0.0749,0.3,0.1027,983,17,2
925,5dbe5d08,0.0277,0.0,0.1254,983,17,2
926,5dbe5d08,0.0095,0.0,0.0914,983,17,2
927,5dbe5d08,0.2465,0.0,0.1078,983,17,2
928,5dbe5d08,0.0033,0.0,0.0977,983,17,2
929,5dbe5d08,0.0281,0.0,0.0835,983,17,2
930,5dbe5d08,0.0818,0.0,0.0823,983,17,2
931,5dbe5d08,0.0131,0.0,0.0902,983,17,2
932,5dbe5d08,0.0348,0.0,0.1057,983,17,2
933,5dbe5d08,143.078,0.0,0.1048,983,17,2
934,5dbe5d08,982.8573,0.0,0.1067,983,17,2
935,5dbe5d08,0.0237,0.0,0.0964,983,17,2
936,5dbe5d08,0.0073,0.0,0.0978,983,17,2
937,5dbe5d08,0.0396,0.0,0.1015,983,17,2
938,5dbe5d08,0.0447,0.0,0.0944,983,17,2
939,5dbe5d08,0.0181,0.0,0.0958,983,17,2
940,5dbe5d08,0.0803,0.2,0.0923,983,17,2
941,5dbe5d08,0.1424,0.0,0.1062,983,17,2
942,5dbe5d08,0.0077,0.0,0.0921,983,17,2
943,5dbe5d08,684.1481,0.0,0.1451,983,17,2
